,method,rank,l,p,rmse,time
0,FRSVT,3,5,2,0.009976710179055466,0.2977030277252197
1,QISVT,3,5,2,0.009984204603785844,0.3007011413574219
2,SVT,3,5,2,0.0100604053056168,2.533722162246704
3,FRSVT,3,5,2,0.00998902074079364,0.25903797149658203
4,QISVT,3,5,2,0.00997765769610164,0.3133561611175537
5,SVT,3,5,2,0.0100604053056168,2.387878894805908
6,FRSVT,3,10,2,0.009982408508417733,0.6158840656280518
7,QISVT,3,10,2,0.009983095163032597,0.9528210163116455
8,SVT,3,10,2,0.0100604053056168,2.1438307762145996
9,FRSVT,3,10,2,0.009987392937280414,0.6508369445800781
10,QISVT,3,10,2,0.00998965779144419,0.566875696182251
11,SVT,3,10,2,0.0100604053056168,2.2385590076446533
12,FRSVT,3,15,2,0.009979942947062195,1.209751844406128
13,QISVT,3,15,2,0.010000316937213205,1.1138651371002197
14,SVT,3,15,2,0.0100604053056168,2.6104202270507812
15,FRSVT,3,15,2,0.009975960880004322,1.5024681091308594
16,QISVT,3,15,2,0.010011356236520805,1.0743467807769775
17,SVT,3,15,2,0.0100604053056168,2.3583390712738037
18,FRSVT,3,20,2,0.009986150755768633,2.5695419311523438
19,QISVT,3,20,2,0.010003650044483592,2.5587058067321777
20,SVT,3,20,2,0.0100604053056168,8.959462881088257
21,FRSVT,3,20,2,0.010002031739780709,2.0626490116119385
22,QISVT,3,20,2,0.009989734553413203,1.798896074295044
23,SVT,3,20,2,0.0100604053056168,15.916100025177002
24,FRSVT,5,5,2,0.009962165119687146,0.3688831329345703
25,QISVT,5,5,2,0.00995782613529998,0.619387149810791
26,SVT,5,5,2,0.010228238669034688,2.357477903366089
27,FRSVT,5,5,2,0.009957576435353556,0.42562413215637207
28,QISVT,5,5,2,0.009957491042321097,0.2631969451904297
29,SVT,5,5,2,0.010228238669034688,5.323052644729614
30,FRSVT,5,10,2,0.009950867283662646,0.6595981121063232
31,QISVT,5,10,2,0.009968072139861185,0.5599889755249023
32,SVT,5,10,2,0.010228238669034688,2.8809702396392822
33,FRSVT,5,10,2,0.010004915730749558,0.6242711544036865
34,QISVT,5,10,2,0.009965864442235038,0.7003738880157471
35,SVT,5,10,2,0.010228238669034688,2.375153064727783
36,FRSVT,5,15,2,0.009990786213632691,2.3665730953216553
37,QISVT,5,15,2,0.01001110234073877,1.0524547100067139
38,SVT,5,15,2,0.010228238669034688,2.188420057296753
39,FRSVT,5,15,2,0.010009532914685515,1.3589818477630615
40,QISVT,5,15,2,0.01002439438769465,1.0186409950256348
41,SVT,5,15,2,0.010228238669034688,2.1133358478546143
42,FRSVT,5,20,2,0.010011892507906026,1.7246160507202148
43,QISVT,5,20,2,0.010015846785587645,1.6681580543518066
44,SVT,5,20,2,0.010228238669034688,2.31455397605896
45,FRSVT,5,20,2,0.010001067166392172,1.7590787410736084
46,QISVT,5,20,2,0.010036129455913204,1.6937129497528076
