,method,rank,l,p,rmse,time
64,QISVT,7,15,2,0.009985502251053479,1.028519868850708
65,SVT,7,15,2,0.01095985292451848,2.095165252685547
66,FRSVT,7,20,2,0.010042000353404619,1.728065013885498
67,QISVT,7,20,2,0.009953272358014315,1.7442810535430908
68,SVT,7,20,2,0.01095985292451848,2.8423008918762207
69,FRSVT,7,20,2,0.010015787080210805,1.6752419471740723
70,QISVT,7,20,2,0.010060731998691477,1.8391859531402588
71,SVT,7,20,2,0.01095985292451848,2.1684212684631348
72,FRSVT,9,5,2,0.009974986103374136,0.2315359115600586
73,QISVT,9,5,2,0.009974986103422886,0.27958202362060547
74,SVT,9,5,2,0.01113589239550135,2.82002592086792
75,FRSVT,9,5,2,0.009974986103838773,0.24158096313476562
76,QISVT,9,5,2,0.009974986106626877,0.43540406227111816
77,SVT,9,5,2,0.01113589239550135,2.128627300262451
78,FRSVT,9,10,2,0.009969020977963403,0.5854010581970215
79,QISVT,9,10,2,0.009947850858300071,0.568159818649292
80,SVT,9,10,2,0.01113589239550135,2.3571107387542725
81,FRSVT,9,10,2,0.009992225170795819,0.6092009544372559
82,QISVT,9,10,2,0.009971555844779982,0.585460901260376
83,SVT,9,10,2,0.01113589239550135,2.0619170665740967
84,FRSVT,9,15,2,0.00999624142312226,1.0674989223480225
85,QISVT,9,15,2,0.009989278274156566,1.062242031097412
86,SVT,9,15,2,0.01113589239550135,2.251610040664673
87,FRSVT,9,15,2,0.009994466191077118,1.0533981323242188
88,QISVT,9,15,2,0.009939232848533467,1.1797969341278076
89,SVT,9,15,2,0.01113589239550135,2.1807749271392822
90,FRSVT,9,20,2,0.010031224280809102,1.9291582107543945
91,QISVT,9,20,2,0.009967135898385658,1.6484017372131348
92,SVT,9,20,2,0.01113589239550135,2.577216863632202
93,FRSVT,9,20,2,0.00998876600869837,1.8144519329071045
94,QISVT,9,20,2,0.01003294364397931,1.6732821464538574
95,SVT,9,20,2,0.01113589239550135,2.6217660903930664
96,FRSVT,11,5,2,0.010088867703077275,0.29683780670166016
97,QISVT,11,5,2,0.010087795162857283,0.28642892837524414
98,SVT,11,5,2,0.012780732321025997,2.209465980529785
99,FRSVT,11,5,2,0.010087800456519717,0.23816561698913574
100,QISVT,11,5,2,0.010087782795748622,0.2698497772216797
101,SVT,11,5,2,0.012780732321025997,2.1663389205932617
102,FRSVT,11,10,2,0.010132597109876523,0.6557800769805908
103,QISVT,11,10,2,0.010206865583205263,0.6025962829589844
104,SVT,11,10,2,0.012780732321025997,2.108227014541626
105,FRSVT,11,10,2,0.00999693482832074,0.6487629413604736
106,QISVT,11,10,2,0.010095743983392164,0.595102071762085
107,SVT,11,10,2,0.012780732321025997,2.12490177154541
108,FRSVT,11,15,2,0.009916925275163994,1.0383050441741943
109,QISVT,11,15,2,0.009938124030502015,1.068697214126587
110,SVT,11,15,2,0.012780732321025997,2.104914903640747
111,FRSVT,11,15,2,0.009909403778001763,1.0583481788635254
112,QISVT,11,15,2,0.01003603600533559,1.0203118324279785
113,SVT,11,15,2,0.012780732321025997,2.9759631156921387
114,FRSVT,11,20,2,0.010004497413862608,1.7131311893463135
115,QISVT,11,20,2,0.010005774987979159,1.7523720264434814
116,SVT,11,20,2,0.012780732321025997,2.3244378566741943
117,FRSVT,11,20,2,0.00996248428779861,1.8542430400848389
118,QISVT,11,20,2,0.009997360472565494,1.7397809028625488
119,SVT,11,20,2,0.012780732321025997,2.3832709789276123
