,method,rank,l,p,rmse,time
0,FRSVT,3,5,2,0.009982171874506614,0.2825429439544678
1,QISVT,3,5,2,0.009981313503471308,0.3074009418487549
2,SVT,3,5,2,0.01003475381907408,3.930253744125366
3,FRSVT,3,5,2,0.009999345233454856,0.27477097511291504
4,QISVT,3,5,2,0.009999282661218462,0.3791947364807129
5,SVT,3,5,2,0.01003475381907408,76.344003200531
6,FRSVT,3,10,2,0.009991204750576355,0.6720070838928223
7,QISVT,3,10,2,0.009997194850586737,0.7097086906433105
8,SVT,3,10,2,0.01003475381907408,3.0439419746398926
9,FRSVT,3,10,2,0.009989892230811004,0.7313530445098877
10,QISVT,3,10,2,0.009991153402137744,0.558419942855835
11,SVT,3,10,2,0.01003475381907408,2.923232078552246
12,FRSVT,3,15,2,0.009993064102951107,1.0756847858428955
13,QISVT,3,15,2,0.010001632664782404,1.037100076675415
14,SVT,3,15,2,0.01003475381907408,2.254844903945923
15,FRSVT,3,15,2,0.01000861603156584,948.5330159664154
16,QISVT,3,15,2,0.009983725545650631,1.0377779006958008
17,SVT,3,15,2,0.01003475381907408,6.358697891235352
18,FRSVT,3,20,2,0.010014717844792624,1.8017499446868896
19,QISVT,3,20,2,0.01001021573921685,2.1205990314483643
20,SVT,3,20,2,0.01003475381907408,2.968066930770874
21,FRSVT,3,20,2,0.010003526588111496,1.8896591663360596
22,QISVT,3,20,2,0.009993052670666485,2.2705981731414795
23,SVT,3,20,2,0.01003475381907408,2.6780779361724854
24,FRSVT,5,5,2,0.010004790518646629,0.3347432613372803
25,QISVT,5,5,2,0.009963869474660747,0.36745595932006836
26,SVT,5,5,2,0.010400391788593874,3.8585660457611084
27,FRSVT,5,5,2,0.00996371012187179,0.2563199996948242
28,QISVT,5,5,2,0.009969059175320724,0.3781850337982178
29,SVT,5,5,2,0.010400391788593874,2.2678160667419434
30,FRSVT,5,10,2,0.010457695387641559,0.9544079303741455
31,QISVT,5,10,2,0.009937111339735656,0.744549036026001
32,SVT,5,10,2,0.010400391788593874,2.5031261444091797
33,FRSVT,5,10,2,0.009945398113297404,0.6639769077301025
34,QISVT,5,10,2,0.009965883194463235,0.7666318416595459
35,SVT,5,10,2,0.010400391788593874,2.305065870285034
36,FRSVT,5,15,2,0.010015868353902724,1.1350960731506348
37,QISVT,5,15,2,0.010006437238916895,1.0264368057250977
38,SVT,5,15,2,0.010400391788593874,2.5199942588806152
39,FRSVT,5,15,2,0.0100054103043404,1.0934720039367676
40,QISVT,5,15,2,0.010030592401546206,1.0582408905029297
41,SVT,5,15,2,0.010400391788593874,2.2280328273773193
42,FRSVT,5,20,2,0.00998103211571607,1.894963026046753
43,QISVT,5,20,2,0.01002575850571616,1.9628431797027588
44,SVT,5,20,2,0.010400391788593874,5.615990161895752
45,FRSVT,5,20,2,0.010009398314810037,2.674517869949341
46,QISVT,5,20,2,0.010479891312912527,2.0810821056365967
47,SVT,5,20,2,0.010400391788593874,6.187498092651367
48,FRSVT,7,5,2,0.010216064596793547,0.2493879795074463
49,QISVT,7,5,2,0.009964631703252607,0.23207592964172363
50,SVT,7,5,2,0.01095985292451848,2.196640968322754
51,FRSVT,7,5,2,0.009964631556056812,0.2911388874053955
52,QISVT,7,5,2,0.009964641306588157,0.2602081298828125
53,SVT,7,5,2,0.01095985292451848,2.144415855407715
54,FRSVT,7,10,2,0.00992436150715952,0.6223909854888916
55,QISVT,7,10,2,0.009930884455950573,0.5427167415618896
56,SVT,7,10,2,0.01095985292451848,2.173882246017456
57,FRSVT,7,10,2,0.009955939899752908,0.5928080081939697
58,QISVT,7,10,2,0.009980874820636984,0.5456712245941162
59,SVT,7,10,2,0.01095985292451848,2.3106741905212402
60,FRSVT,7,15,2,0.010011649065104523,1.6053197383880615
61,QISVT,7,15,2,0.009981918206348566,1.1248462200164795
62,SVT,7,15,2,0.01095985292451848,2.4391372203826904
63,FRSVT,7,15,2,0.010010448609270679,1.0747578144073486
