,method,rank,l,p,rmse,time
0,FRSVT,3,5,2,0.00998302475095087,1.099147081375122
1,QISVT,3,5,2,0.009982887616926065,0.5163180828094482
2,SVT,3,5,2,0.010054415563417893,4.556607961654663
3,FRSVT,3,5,2,0.009979734522719427,0.40844106674194336
4,QISVT,3,5,2,0.010004948737925873,0.3031790256500244
5,SVT,3,5,2,0.010054415563417893,4.795925140380859
6,FRSVT,3,10,2,0.010000172401003753,0.6396329402923584
7,QISVT,3,10,2,0.010005165917617425,0.5708103179931641
8,SVT,3,10,2,0.010054415563417893,2.431265115737915
9,FRSVT,3,10,2,0.009977336051787753,0.659416913986206
10,QISVT,3,10,2,0.010001786822942955,0.6248948574066162
11,SVT,3,10,2,0.010054415563417893,2.5016438961029053
12,FRSVT,3,15,2,0.009993517123128315,1.5294170379638672
13,QISVT,3,15,2,0.009993012619122011,1.3249688148498535
14,SVT,3,15,2,0.010054415563417893,3.1989307403564453
15,FRSVT,3,15,2,0.009986069286128189,1.451685905456543
16,QISVT,3,15,2,0.009987010097438864,1.189302921295166
17,SVT,3,15,2,0.010054415563417893,2.6111979484558105
18,FRSVT,3,20,2,0.010013598096258715,1.98881196975708
19,QISVT,3,20,2,0.009981674724441933,2.2576661109924316
20,SVT,3,20,2,0.010054415563417893,4.001729965209961
21,FRSVT,3,20,2,0.010029922572154827,1.9651291370391846
22,QISVT,3,20,2,0.010003495470419033,2.2053050994873047
23,SVT,3,20,2,0.010054415563417893,3.8463187217712402
24,FRSVT,5,5,2,0.009968629862318303,0.3747429847717285
25,QISVT,5,5,2,0.009998630079355732,0.27910876274108887
26,SVT,5,5,2,0.01030307870613002,2.2278337478637695
27,FRSVT,5,5,2,0.010124410278706275,0.2773420810699463
28,QISVT,5,5,2,0.009968988847518878,0.2553281784057617
29,SVT,5,5,2,0.01030307870613002,2.198230028152466
30,FRSVT,5,10,2,0.01005371392920574,0.6358242034912109
31,QISVT,5,10,2,0.010025342032921387,0.7774627208709717
32,SVT,5,10,2,0.01030307870613002,2.184335947036743
33,FRSVT,5,10,2,0.01000526047013873,0.6307897567749023
34,QISVT,5,10,2,0.009990433165836329,0.547022819519043
35,SVT,5,10,2,0.01030307870613002,2.3528661727905273
36,FRSVT,5,15,2,0.010254975764036176,1.055152177810669
37,QISVT,5,15,2,0.01001122084402758,1.0552568435668945
38,SVT,5,15,2,0.01030307870613002,2.209062099456787
39,FRSVT,5,15,2,0.01000203817347878,1.1341190338134766
