,method,rank,l,p,rmse,time
0,FRSVT,3,5,2,0.010029016672045192,0.29790806770324707
1,QISVT,3,5,2,0.01000472032751846,0.2299337387084961
2,SVT,3,5,2,0.0101260327673485,2.1774840354919434
3,FRSVT,3,5,2,0.01001247782801791,0.23032236099243164
4,QISVT,3,5,2,0.010001454042620815,0.2402951717376709
5,SVT,3,5,2,0.0101260327673485,2.746469020843506
6,FRSVT,3,10,2,0.010033830028695307,0.636868953704834
7,QISVT,3,10,2,0.009988637603350822,0.6065831184387207
8,SVT,3,10,2,0.0101260327673485,2.788771867752075
9,FRSVT,3,10,2,0.00997429799722665,0.5921330451965332
10,QISVT,3,10,2,0.00999373622306531,0.6096401214599609
11,SVT,3,10,2,0.0101260327673485,2.2367427349090576
12,FRSVT,3,15,2,0.010015487715201653,1.5918967723846436
13,QISVT,3,15,2,0.010014216358197586,1.0193219184875488
14,SVT,3,15,2,0.0101260327673485,2.121140956878662
15,FRSVT,3,15,2,0.010036409184539732,1.1050209999084473
16,QISVT,3,15,2,0.01000644461387454,1.0906450748443604
17,SVT,3,15,2,0.0101260327673485,2.1338958740234375
18,FRSVT,3,20,2,0.010045652048631587,1.6908049583435059
19,QISVT,3,20,2,0.010033423595198774,1.6379971504211426
20,SVT,3,20,2,0.0101260327673485,3.237640857696533
21,FRSVT,3,20,2,0.01002232254567558,1.6969761848449707
22,QISVT,3,20,2,0.009990729323432652,1.6620309352874756
23,SVT,3,20,2,0.0101260327673485,2.1657228469848633
24,FRSVT,5,5,2,0.009958119194294906,0.24418902397155762
25,QISVT,5,5,2,0.010045063913288028,0.257901668548584
26,SVT,5,5,2,0.010341475799881476,2.29571795463562
27,FRSVT,5,5,2,0.009961937171297628,0.30850887298583984
28,QISVT,5,5,2,0.00995514784189428,0.33954405784606934
29,SVT,5,5,2,0.010341475799881476,2.21091890335083
30,FRSVT,5,10,2,0.009993148897107828,0.6743581295013428
31,QISVT,5,10,2,0.009986919777441792,0.6452822685241699
32,SVT,5,10,2,0.010341475799881476,2.2370378971099854
33,FRSVT,5,10,2,0.009996561759030218,0.7154157161712646
34,QISVT,5,10,2,0.010016115330668719,0.5366997718811035
35,SVT,5,10,2,0.010341475799881476,2.1402130126953125
36,FRSVT,5,15,2,0.010016203534589152,1.1067357063293457
37,QISVT,5,15,2,0.010012050501234306,1.0153417587280273
38,SVT,5,15,2,0.010341475799881476,2.1683340072631836
39,FRSVT,5,15,2,0.009993073476246258,1.0681090354919434
40,QISVT,5,15,2,0.01002873321543586,1.108342170715332
41,SVT,5,15,2,0.010341475799881476,2.195258855819702
42,FRSVT,5,20,2,0.01005233791854239,1.6786201000213623
43,QISVT,5,20,2,0.010060606379951669,1.6652710437774658
44,SVT,5,20,2,0.010341475799881476,2.6446919441223145
45,FRSVT,5,20,2,0.010026564176929847,1.7203960418701172
46,QISVT,5,20,2,0.010017737697787974,1.6872656345367432
47,SVT,5,20,2,0.010341475799881476,2.153069019317627
48,FRSVT,7,5,2,0.009959989273862966,0.2437901496887207
49,QISVT,7,5,2,0.010319275695782157,0.23884892463684082
50,SVT,7,5,2,0.011507506529662129,2.69465708732605
51,FRSVT,7,5,2,0.009960006091238892,0.2596890926361084
52,QISVT,7,5,2,0.009959988696901428,0.26282691955566406
53,SVT,7,5,2,0.011507506529662129,2.1689682006835938
54,FRSVT,7,10,2,0.009948131740991007,0.6179070472717285
55,QISVT,7,10,2,0.009967826250692495,0.5818610191345215
56,SVT,7,10,2,0.011507506529662129,2.1513938903808594
57,FRSVT,7,10,2,0.010021641876860447,0.617807149887085
58,QISVT,7,10,2,0.009971818018345768,0.5468590259552002
59,SVT,7,10,2,0.011507506529662129,2.126278877258301
60,FRSVT,7,15,2,0.010000805529709588,1.120995044708252
61,QISVT,7,15,2,0.01151254783031441,1.0219230651855469
62,SVT,7,15,2,0.011507506529662129,2.138970136642456
63,FRSVT,7,15,2,0.009998886045641715,1.0964529514312744
64,QISVT,7,15,2,0.010008700244594687,1.02740478515625
65,SVT,7,15,2,0.011507506529662129,2.8236632347106934
66,FRSVT,7,20,2,0.01008311993590216,2.363007068634033
67,QISVT,7,20,2,0.010015016322214097,1.7460815906524658
68,SVT,7,20,2,0.011507506529662129,2.140779972076416
69,FRSVT,7,20,2,0.010003423715414432,1.7307817935943604
70,QISVT,7,20,2,0.01000194691578021,1.7011258602142334
71,SVT,7,20,2,0.011507506529662129,2.1851892471313477
72,FRSVT,9,5,2,0.010017123894983776,0.28088998794555664
73,QISVT,9,5,2,0.010011609008623924,0.2575521469116211
74,SVT,9,5,2,0.011798306003829325,2.3317177295684814
75,FRSVT,9,5,2,0.010011535638445639,0.24579524993896484
76,QISVT,9,5,2,0.011376285331553389,0.2910449504852295
77,SVT,9,5,2,0.011798306003829325,2.5203330516815186
78,FRSVT,9,10,2,0.009995757333277037,0.6098589897155762
79,QISVT,9,10,2,0.009929326293931444,0.5377309322357178
80,SVT,9,10,2,0.011798306003829325,2.317244052886963
81,FRSVT,9,10,2,0.009930624247102577,0.6240968704223633
82,QISVT,9,10,2,0.010002787828696144,0.5682799816131592
83,SVT,9,10,2,0.011798306003829325,2.212571859359741
84,FRSVT,9,15,2,0.009953804580215594,1.0456569194793701
85,QISVT,9,15,2,0.009947798242639421,1.3971598148345947
86,SVT,9,15,2,0.011798306003829325,2.162047863006592
87,FRSVT,9,15,2,0.011453959658615382,1.135728120803833
88,QISVT,9,15,2,0.010616662496171462,1.056333065032959
89,SVT,9,15,2,0.011798306003829325,2.809800863265991
90,FRSVT,9,20,2,0.00999787633885325,1.7213988304138184
91,QISVT,9,20,2,0.009996778618535292,1.7071270942687988
92,SVT,9,20,2,0.011798306003829325,2.132633686065674
93,FRSVT,9,20,2,0.00999713763619509,1.7528448104858398
94,QISVT,9,20,2,0.00999288101293902,1.6921699047088623
95,SVT,9,20,2,0.011798306003829325,2.191864013671875
96,FRSVT,11,5,2,0.014086492993273131,0.24819111824035645
97,QISVT,11,5,2,0.011378226571539755,0.25075507164001465
98,SVT,11,5,2,0.014854204738254268,2.1674129962921143
99,FRSVT,11,5,2,0.01627069336882701,0.2554807662963867
100,QISVT,11,5,2,0.015413657386160226,0.4314281940460205
101,SVT,11,5,2,0.014854204738254268,2.864403009414673
102,FRSVT,11,10,2,0.01095787174790945,0.6797549724578857
103,QISVT,11,10,2,0.014088942561982247,0.5959880352020264
104,SVT,11,10,2,0.014854204738254268,2.2152888774871826
105,FRSVT,11,10,2,0.013746031211103987,0.619006872177124
106,QISVT,11,10,2,0.016749823983752916,0.6069691181182861
107,SVT,11,10,2,0.014854204738254268,2.2466979026794434
108,FRSVT,11,15,2,0.012646012203544004,1.0661742687225342
109,QISVT,11,15,2,0.011855052457497238,1.037466049194336
110,SVT,11,15,2,0.014854204738254268,2.3701541423797607
111,FRSVT,11,15,2,0.015703775463704384,1.1516590118408203
112,QISVT,11,15,2,0.010015085824682093,1.557347059249878
113,SVT,11,15,2,0.014854204738254268,5.853566884994507
114,FRSVT,11,20,2,0.013997151057530076,2.4609389305114746
115,QISVT,11,20,2,0.010093418219837065,1.7547669410705566
116,SVT,11,20,2,0.014854204738254268,2.251199960708618
117,FRSVT,11,20,2,0.015779748287274412,1.8004426956176758
118,QISVT,11,20,2,0.016749869748033597,1.6869347095489502
119,SVT,11,20,2,0.014854204738254268,2.2228031158447266
