,method,rank,l,p,rmse,time
0,FRSVT,3,5,2,0.009997239320481787,0.27174925804138184
1,QISVT,3,5,2,0.009965355750102692,0.27632999420166016
2,SVT,3,5,2,0.010077538009874744,2.9065968990325928
3,FRSVT,3,5,2,0.009964581495372113,0.2629220485687256
4,QISVT,3,5,2,0.009961423639183191,0.2532663345336914
5,SVT,3,5,2,0.010077538009874744,2.261512041091919
6,FRSVT,3,10,2,0.009998154784631612,0.6818602085113525
7,QISVT,3,10,2,0.009999547171759922,0.7255980968475342
8,SVT,3,10,2,0.010077538009874744,2.535428285598755
9,FRSVT,3,10,2,0.009981816817413346,0.7046389579772949
10,QISVT,3,10,2,0.00998949015573066,0.714818000793457
11,SVT,3,10,2,0.010077538009874744,2.597648859024048
12,FRSVT,3,15,2,0.009993693335627267,1.471440076828003
13,QISVT,3,15,2,0.01001498968046549,1.0160870552062988
14,SVT,3,15,2,0.010077538009874744,2.7943899631500244
15,FRSVT,3,15,2,0.009987616549748368,1.175708293914795
16,QISVT,3,15,2,0.009993817881218833,1.230407953262329
17,SVT,3,15,2,0.010077538009874744,5.475412845611572
18,FRSVT,3,20,2,0.010002161323848485,2.2198550701141357
19,QISVT,3,20,2,0.009982723293289754,2.103440761566162
20,SVT,3,20,2,0.010077538009874744,2.9751200675964355
21,FRSVT,3,20,2,0.009993565995312047,1.8133509159088135
22,QISVT,3,20,2,0.009990294841264973,1.8012731075286865
23,SVT,3,20,2,0.010077538009874744,3.0653998851776123
24,FRSVT,5,5,2,0.009960845268727038,0.35810279846191406
25,QISVT,5,5,2,0.010015390133882984,0.37342405319213867
26,SVT,5,5,2,0.010460636928566608,3.591325283050537
27,FRSVT,5,5,2,0.009994133160005877,0.25508809089660645
28,QISVT,5,5,2,0.009961372165363759,0.31151580810546875
29,SVT,5,5,2,0.010460636928566608,4.047952175140381
30,FRSVT,5,10,2,0.009976540298969527,0.840522050857544
31,QISVT,5,10,2,0.01000809222383282,0.5764889717102051
32,SVT,5,10,2,0.010460636928566608,2.6295878887176514
33,FRSVT,5,10,2,0.010006328778772337,0.6851489543914795
34,QISVT,5,10,2,0.009954325027730021,0.5408978462219238
35,SVT,5,10,2,0.010460636928566608,2.348775863647461
36,FRSVT,5,15,2,0.010027757584784544,1.1656599044799805
37,QISVT,5,15,2,0.009989881575051613,1.3549978733062744
38,SVT,5,15,2,0.010460636928566608,2.1091830730438232
39,FRSVT,5,15,2,0.009980194307336711,1.0863337516784668
40,QISVT,5,15,2,0.009998619690014136,1.0471608638763428
41,SVT,5,15,2,0.010460636928566608,2.743677854537964
42,FRSVT,5,20,2,0.010065872849935955,1.689443826675415
43,QISVT,5,20,2,0.010020170992406393,2.078217029571533
44,SVT,5,20,2,0.010460636928566608,2.132617950439453
45,FRSVT,5,20,2,0.010000227943168767,1.8168079853057861
46,QISVT,5,20,2,0.01004738789998045,1.658601999282837
47,SVT,5,20,2,0.010460636928566608,2.2874491214752197
48,FRSVT,7,5,2,0.010047807112316662,0.2390599250793457
49,QISVT,7,5,2,0.010963651131948122,0.23088383674621582
50,SVT,7,5,2,0.010736426279304882,2.2293121814727783
51,FRSVT,7,5,2,0.010022445959410823,0.26187586784362793
