,method,rank,l,p,rmse,time
0,FRSVT,3,5,2,0.00998659742194103,0.3788890838623047
1,QISVT,3,5,2,0.009995654413312858,0.26297903060913086
2,SVT,3,5,2,0.010066266227459758,2.4687371253967285
3,FRSVT,3,5,2,0.009968008267950586,0.29761195182800293
4,QISVT,3,5,2,0.009998818459110156,0.5336687564849854
5,SVT,3,5,2,0.010066266227459758,3.1963720321655273
6,FRSVT,3,10,2,0.009996167401410313,0.7281992435455322
7,QISVT,3,10,2,0.009975486696247036,0.6217091083526611
8,SVT,3,10,2,0.010066266227459758,3.640735149383545
9,FRSVT,3,10,2,0.009984090263934714,0.661236047744751
10,QISVT,3,10,2,0.009984251414563213,0.5601913928985596
11,SVT,3,10,2,0.010066266227459758,2.416033983230591
12,FRSVT,3,15,2,0.00997134016052793,1.092325210571289
13,QISVT,3,15,2,0.010008951027286791,1.0319530963897705
14,SVT,3,15,2,0.010066266227459758,2.203701972961426
15,FRSVT,3,15,2,0.009992981179262204,1.0912079811096191
16,QISVT,3,15,2,0.010012542477059905,1.0330541133880615
17,SVT,3,15,2,0.010066266227459758,2.2151408195495605
18,FRSVT,3,20,2,0.010047196043732446,1.8192412853240967
19,QISVT,3,20,2,0.01007562618928215,1.7684040069580078
20,SVT,3,20,2,0.010066266227459758,2.360630989074707
21,FRSVT,3,20,2,0.009981192005000016,1.7085051536560059
22,QISVT,3,20,2,0.0099881013364938,1.6608130931854248
23,SVT,3,20,2,0.010066266227459758,2.1549198627471924
24,FRSVT,5,5,2,0.010018245033254101,0.23018097877502441
25,QISVT,5,5,2,0.009964884537901049,0.26114892959594727
26,SVT,5,5,2,0.010784291093477349,2.2780299186706543
27,FRSVT,5,5,2,0.009978365074838694,0.46161913871765137
28,QISVT,5,5,2,0.009988640044361787,0.24103999137878418
29,SVT,5,5,2,0.010784291093477349,2.1155710220336914
30,FRSVT,5,10,2,0.00996359362896197,0.7396559715270996
31,QISVT,5,10,2,0.010051814308178324,0.5547518730163574
32,SVT,5,10,2,0.010784291093477349,2.1484217643737793
33,FRSVT,5,10,2,0.009976856660940803,0.6193082332611084
34,QISVT,5,10,2,0.009933768836611621,0.5817708969116211
35,SVT,5,10,2,0.010784291093477349,2.7429568767547607
36,FRSVT,5,15,2,0.01004307175401319,1.030081033706665
37,QISVT,5,15,2,0.010011585194509292,1.0933058261871338
38,SVT,5,15,2,0.010784291093477349,2.113056182861328
39,FRSVT,5,15,2,0.01001734822050279,1.1137821674346924
40,QISVT,5,15,2,0.010033536828709683,1.08125901222229
41,SVT,5,15,2,0.010784291093477349,2.114237070083618
42,FRSVT,5,20,2,0.010046923522248705,1.7089767456054688
43,QISVT,5,20,2,0.010095465139934872,2.0728461742401123
