Method,l,Elapsed Time,RMSE
FRSVT,5,0.28810060024261475,2.862877977404076
FRSVT,10,1.119154691696167,2.862877977403258
FRSVT,15,2.099354326725006,2.8628779774032633
FRSVT,20,4.429960370063782,2.8628779774032544
QISVT,5,0.3042867183685303,2.8628779774032833
QISVT,10,0.8951508402824402,2.8628779774032713
QISVT,15,1.7648232579231262,2.8628779774032616
QISVT,20,3.8819103240966797,2.8628779774032567
SVD,5,2.6915712356567383,28.34826145209588
SVD,10,3.4056293964385986,28.34826145209588
SVD,15,3.9355053901672363,28.34826145209588
SVD,20,4.15122127532959,28.34826145209588
